,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price_local,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,distance_to_center_km,city,property_type_grouped,property_privacy_level,property_category
22706,within an hour,100%,89%,f,1.0,1.0,f,St. Hanshaugen,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1800.0,2,1125.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,28.0,58.0,88.0,363.0,25.0,6.0,1.0,92,4.0,36.0,64800.0,4.96,4.96,5.0,4.96,4.96,4.92,4.96,f,1.0,1.0,0.0,0.0,0.76,Oslo,Entire Standard,Entire,Standard
22707,within a few hours,89%,54%,f,5.0,9.0,t,Frogner,Entire Standard,Entire home/apt,5.0,1.0,1 bath,2.0,5.0,2152.0,5,1125.0,14.0,14.0,1125.0,1125.0,14.0,1125.0,t,29.0,59.0,89.0,179.0,6.0,2.0,1.0,93,0.0,20.0,43040.0,5.0,4.83,5.0,5.0,4.83,5.0,4.67,f,2.0,2.0,0.0,0.0,2.74,Oslo,Entire Standard,Entire,Standard
22708,within an hour,100%,100%,f,1.0,2.0,t,St. Hanshaugen,Entire Standard,Entire home/apt,3.0,1.0,1 bath,1.0,2.0,666.0,31,1125.0,31.0,31.0,1125.0,1125.0,31.0,1125.0,t,16.0,16.0,16.0,102.0,98.0,6.0,2.0,16,6.0,255.0,169830.0,4.82,4.77,4.82,4.97,4.96,4.87,4.76,f,1.0,1.0,0.0,0.0,1.45,Oslo,Entire Standard,Entire,Standard
22709,within an hour,100%,96%,t,1.0,1.0,t,Frogner,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,2218.0,2,40.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,30.0,60.0,87.0,362.0,283.0,16.0,2.0,91,17.0,96.0,212928.0,4.88,4.9,4.89,4.83,4.86,4.96,4.81,f,1.0,1.0,0.0,0.0,2.05,Oslo,Entire Standard,Entire,Standard
22710,within a day,100%,100%,f,3.0,3.0,t,St. Hanshaugen,Entire Standard,Entire home/apt,5.0,1.0,1 bath,2.0,2.0,2190.0,2,500.0,2.0,3.0,500.0,500.0,2.0,500.0,t,7.0,27.0,42.0,254.0,42.0,1.0,1.0,42,1.0,6.0,13140.0,4.76,4.81,4.79,4.85,4.9,4.73,4.68,f,2.0,1.0,1.0,0.0,0.59,Oslo,Entire Standard,Entire,Standard
22711,within an hour,100%,96%,t,1.0,1.0,t,Frogner,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,1696.0,3,30.0,3.0,3.0,30.0,30.0,3.0,30.0,t,3.0,3.0,3.0,48.0,139.0,20.0,1.0,3,15.0,120.0,203520.0,4.84,4.88,4.88,4.92,4.94,4.96,4.79,f,1.0,1.0,0.0,0.0,1.49,Oslo,Entire Standard,Entire,Standard
22712,within a few hours,88%,46%,f,1.0,1.0,t,Grünerløkka,Entire Standard,Entire home/apt,3.0,1.0,1 bath,2.0,2.0,1711.0,2,365.0,2.0,2.0,365.0,365.0,2.0,365.0,t,29.0,59.0,82.0,262.0,16.0,9.0,0.0,86,10.0,54.0,92394.0,4.69,4.94,4.38,4.63,4.88,4.81,4.69,f,1.0,1.0,0.0,0.0,1.09,Oslo,Entire Standard,Entire,Standard
22715,within an hour,100%,50%,t,2.0,2.0,t,Frogner,Entire Standard,Entire home/apt,1.0,1.0,1 bath,1.0,1.0,883.0,3,1125.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,t,0.0,0.0,0.0,181.0,10.0,1.0,0.0,0,0.0,6.0,5298.0,5.0,4.9,5.0,5.0,5.0,5.0,5.0,f,2.0,2.0,0.0,0.0,2.01,Oslo,Entire Standard,Entire,Standard
22716,within an hour,100%,50%,t,2.0,2.0,t,Frogner,Entire Luxury,Entire home/apt,3.0,1.0,1 bath,2.0,2.0,2200.0,3,1125.0,2.0,3.0,1125.0,1125.0,2.6,1125.0,t,28.0,58.0,88.0,363.0,30.0,2.0,0.0,92,5.0,12.0,26400.0,4.97,4.97,4.9,4.97,5.0,5.0,4.97,f,2.0,2.0,0.0,0.0,1.98,Oslo,Entire Luxury,Entire,Luxury
22717,within an hour,100%,92%,t,1.0,3.0,t,Grünerløkka,Hotel,Private room,1.0,1.0,1 shared bath,1.0,1.0,706.0,1,1125.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,t,21.0,50.0,80.0,355.0,686.0,23.0,6.0,84,17.0,138.0,97428.0,4.74,4.89,4.88,4.89,4.88,4.84,4.73,f,1.0,0.0,1.0,0.0,0.43,Oslo,Hotel,Hotel,Hotel
22719,within a few hours,80%,69%,f,1.0,2.0,t,Grünerløkka,Entire Standard,Entire home/apt,3.0,1.0,1 bath,2.0,2.0,1200.0,2,10.0,2.0,2.0,10.0,10.0,2.0,10.0,t,0.0,0.0,0.0,110.0,77.0,9.0,2.0,0,5.0,54.0,64800.0,4.89,4.95,4.84,4.95,4.99,4.97,4.88,f,1.0,1.0,0.0,0.0,1.33,Oslo,Entire Standard,Entire,Standard
22720,within a few hours,100%,33%,f,1.0,1.0,t,Gamle Oslo,Entire Standard,Entire home/apt,3.0,1.0,1 bath,2.0,2.0,1200.0,3,1125.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,t,29.0,59.0,89.0,364.0,20.0,1.0,0.0,93,0.0,6.0,7200.0,4.8,4.95,4.8,4.95,4.95,4.8,4.8,f,1.0,1.0,0.0,0.0,1.24,Oslo,Entire Standard,Entire,Standard
22721,within an hour,100%,100%,t,2.0,2.0,t,Frogner,Hotel,Private room,2.0,1.0,1 private bath,1.0,1.0,953.0,1,120.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,t,20.0,49.0,72.0,341.0,632.0,63.0,7.0,72,28.0,255.0,243015.0,4.91,4.95,4.83,4.97,4.98,4.92,4.89,t,2.0,0.0,2.0,0.0,2.73,Oslo,Hotel,Hotel,Hotel
22722,a few days or more,25%,0%,f,1.0,1.0,t,Grünerløkka,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,829.0,15,30.0,15.0,15.0,30.0,30.0,15.0,30.0,t,28.0,58.0,88.0,88.0,11.0,0.0,0.0,88,1.0,0.0,0.0,4.45,4.27,4.55,4.64,4.18,4.91,4.45,f,1.0,1.0,0.0,0.0,1.65,Oslo,Entire Standard,Entire,Standard
22723,within a few hours,100%,86%,t,1.0,2.0,t,Grünerløkka,Hotel,Private room,2.0,1.0,1 shared bath,1.0,1.0,510.0,2,15.0,2.0,14.0,15.0,15.0,3.0,15.0,t,2.0,26.0,56.0,56.0,267.0,34.0,1.0,56,13.0,204.0,104040.0,4.78,4.84,4.77,4.89,4.9,4.88,4.77,f,1.0,0.0,1.0,0.0,1.72,Oslo,Hotel,Hotel,Hotel
22724,within a day,90%,30%,f,1.0,1.0,t,Grünerløkka,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,2.0,1509.0,5,120.0,5.0,5.0,120.0,120.0,5.0,120.0,t,0.0,27.0,57.0,237.0,18.0,3.0,0.0,61,6.0,30.0,45270.0,5.0,4.89,4.83,4.89,4.83,4.94,4.94,f,1.0,1.0,0.0,0.0,1.02,Oslo,Entire Standard,Entire,Standard
22726,within a few hours,100%,92%,t,1.0,2.0,t,Nordstrand,Entire Standard,Entire home/apt,4.0,1.0,1 bath,1.0,1.0,1670.0,3,30.0,3.0,3.0,30.0,30.0,3.0,30.0,t,14.0,44.0,74.0,342.0,94.0,9.0,1.0,78,9.0,54.0,90180.0,4.95,4.9,4.95,4.92,4.98,4.9,4.88,f,1.0,1.0,0.0,0.0,3.86,Oslo,Entire Standard,Entire,Standard
22727,within a few hours,89%,65%,f,1.0,1.0,t,St. Hanshaugen,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,906.0,2,14.0,2.0,2.0,14.0,14.0,2.0,14.0,t,5.0,11.0,41.0,307.0,66.0,11.0,1.0,45,9.0,66.0,59796.0,4.86,4.91,4.84,4.92,4.95,4.91,4.75,f,1.0,1.0,0.0,0.0,2.02,Oslo,Entire Standard,Entire,Standard
22728,within an hour,100%,84%,t,2.0,6.0,t,Frogner,Entire Standard,Entire home/apt,3.0,1.0,1 bath,0.0,2.0,546.0,1,1125.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,t,11.0,26.0,47.0,116.0,278.0,15.0,2.0,47,22.0,90.0,49140.0,4.57,4.68,4.46,4.77,4.86,4.85,4.59,f,1.0,1.0,0.0,0.0,2.56,Oslo,Entire Standard,Entire,Standard
22730,within an hour,100%,75%,t,3.0,3.0,t,Frogner,Hotel,Private room,1.0,1.0,1 shared bath,1.0,2.0,386.0,30,200.0,30.0,30.0,200.0,200.0,30.0,200.0,t,0.0,0.0,0.0,86.0,144.0,3.0,1.0,0,4.0,180.0,69480.0,4.85,4.87,4.93,4.95,4.94,4.85,4.83,f,3.0,1.0,2.0,0.0,2.92,Oslo,Hotel,Hotel,Hotel
22731,within an hour,100%,75%,t,3.0,3.0,t,Frogner,Entire Standard,Entire home/apt,3.0,1.0,1 bath,2.0,7.0,1167.0,7,25.0,7.0,7.0,25.0,25.0,7.0,25.0,t,19.0,49.0,79.0,79.0,11.0,0.0,0.0,79,0.0,0.0,0.0,4.27,4.64,4.45,4.73,4.91,4.91,4.73,f,3.0,1.0,2.0,0.0,2.89,Oslo,Entire Standard,Entire,Standard
22736,within a few hours,100%,100%,f,2.0,2.0,t,Nordstrand,Entire Standard,Entire home/apt,12.0,2.0,2 baths,5.0,6.0,7500.0,1,1125.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,t,30.0,60.0,90.0,365.0,2.0,1.0,0.0,94,0.0,6.0,45000.0,5.0,5.0,4.5,5.0,5.0,4.5,4.5,f,2.0,2.0,0.0,0.0,7.06,Oslo,Entire Standard,Entire,Standard
22738,within an hour,100%,100%,t,2.0,2.0,t,Frogner,Hotel,Private room,2.0,1.0,1 private bath,1.0,1.0,965.0,1,1125.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,t,12.0,39.0,56.0,313.0,504.0,94.0,10.0,56,38.0,255.0,246075.0,4.95,4.97,4.87,4.99,4.99,4.95,4.95,t,2.0,0.0,2.0,0.0,2.82,Oslo,Hotel,Hotel,Hotel
22739,within an hour,100%,98%,t,2.0,2.0,t,Grünerløkka,Entire Standard,Entire home/apt,3.0,1.0,1 bath,2.0,2.0,929.0,2,30.0,2.0,3.0,30.0,30.0,2.9,30.0,t,0.0,0.0,4.0,29.0,54.0,15.0,2.0,8,12.0,90.0,83610.0,4.81,4.87,4.67,4.72,4.91,4.89,4.81,f,2.0,2.0,0.0,0.0,1.34,Oslo,Entire Standard,Entire,Standard
22740,within a few hours,100%,78%,f,1.0,1.0,t,Gamle Oslo,Entire Standard,Entire home/apt,8.0,1.5,1.5 baths,3.0,7.0,1810.0,3,10.0,2.0,3.0,10.0,10.0,2.9,10.0,t,0.0,0.0,0.0,97.0,72.0,4.0,0.0,0,9.0,24.0,43440.0,4.68,4.87,4.74,4.86,4.91,4.9,4.8,f,1.0,1.0,0.0,0.0,1.9,Oslo,Entire Standard,Entire,Standard
22742,within a day,90%,67%,t,2.0,2.0,t,Sagene,Alternative,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,729.0,5,730.0,5.0,5.0,730.0,730.0,5.0,730.0,t,7.0,25.0,46.0,155.0,235.0,14.0,3.0,46,16.0,140.0,102060.0,4.9,4.86,4.91,4.96,4.92,4.93,4.86,f,2.0,2.0,0.0,0.0,2.37,Oslo,Alternative,Alternative,Alternative
22743,within an hour,100%,100%,f,1.0,1.0,t,Vestre Aker,Entire Standard,Entire home/apt,5.0,1.0,1 bath,2.0,3.0,1191.0,2,1125.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,21.0,51.0,73.0,347.0,96.0,2.0,0.0,76,3.0,12.0,14292.0,4.66,4.78,4.57,4.8,4.83,4.9,4.61,f,1.0,1.0,0.0,0.0,5.73,Oslo,Entire Standard,Entire,Standard
22747,within an hour,100%,100%,f,1.0,2.0,t,Frogner,Entire Standard,Entire home/apt,4.0,1.0,1 bath,1.0,1.0,1100.0,4,1125.0,4.0,4.0,1125.0,1125.0,4.0,1125.0,t,25.0,43.0,69.0,294.0,402.0,12.0,1.0,73,24.0,96.0,105600.0,4.6,4.76,4.35,4.7,4.83,4.88,4.64,f,1.0,1.0,0.0,0.0,2.49,Oslo,Entire Standard,Entire,Standard
22753,within a few hours,100%,93%,t,1.0,1.0,t,St. Hanshaugen,Entire Standard,Entire home/apt,2.0,1.0,1 bath,0.0,1.0,1039.0,2,300.0,2.0,2.0,300.0,300.0,2.0,300.0,t,9.0,12.0,12.0,147.0,338.0,40.0,5.0,12,49.0,240.0,249360.0,4.96,4.95,4.92,4.95,4.97,4.91,4.95,f,1.0,1.0,0.0,0.0,1.72,Oslo,Entire Standard,Entire,Standard
22755,within an hour,100%,92%,t,2.0,5.0,t,Nordstrand,Entire Standard,Entire home/apt,7.0,1.0,1 bath,3.0,4.0,2904.0,3,1125.0,3.0,14.0,1125.0,1125.0,4.4,1125.0,t,0.0,0.0,0.0,164.0,91.0,15.0,2.0,0,11.0,90.0,261360.0,4.9,4.9,4.69,4.79,4.91,4.95,4.74,f,1.0,1.0,0.0,0.0,2.88,Oslo,Entire Standard,Entire,Standard
22756,within a few hours,100%,70%,f,1.0,4.0,t,Frogner,Entire Standard,Entire home/apt,2.0,1.5,1.5 baths,0.0,0.0,941.0,14,300.0,5.0,14.0,300.0,300.0,13.1,300.0,t,23.0,53.0,83.0,83.0,59.0,9.0,0.0,83,1.0,252.0,237132.0,4.47,4.78,4.15,4.72,4.91,4.86,4.55,f,1.0,1.0,0.0,0.0,2.59,Oslo,Entire Standard,Entire,Standard
22757,within an hour,100%,100%,t,1.0,1.0,t,Gamle Oslo,Hotel,Private room,2.0,1.0,1 shared bath,1.0,1.0,740.0,2,1125.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,11.0,41.0,71.0,251.0,378.0,38.0,4.0,75,53.0,228.0,168720.0,4.87,4.9,4.67,4.93,4.97,4.89,4.84,f,1.0,0.0,1.0,0.0,0.63,Oslo,Hotel,Hotel,Hotel
22759,a few days or more,0%,0%,f,1.0,2.0,t,Gamle Oslo,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,0.0,678.0,2,1125.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,8.0,38.0,58.0,324.0,15.0,0.0,0.0,62,0.0,0.0,0.0,4.87,5.0,4.73,4.87,4.93,4.8,4.93,f,1.0,1.0,0.0,0.0,1.42,Oslo,Entire Standard,Entire,Standard
22760,within a few hours,100%,100%,f,3.0,3.0,t,Ullern,Entire Standard,Entire home/apt,6.0,2.0,2 baths,4.0,3.0,3735.0,6,1125.0,6.0,6.0,1125.0,1125.0,6.0,1125.0,t,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0,0.0,0.0,0.0,5.0,4.86,5.0,5.0,5.0,5.0,4.88,f,1.0,1.0,0.0,0.0,6.8,Oslo,Entire Standard,Entire,Standard
22761,within an hour,100%,100%,f,1.0,1.0,t,Frogner,Entire Standard,Entire home/apt,2.0,1.0,1 bath,0.0,1.0,1076.0,1,365.0,1.0,1.0,365.0,365.0,1.0,365.0,t,0.0,0.0,0.0,0.0,14.0,14.0,6.0,0,0.0,84.0,90384.0,5.0,5.0,5.0,4.86,5.0,5.0,4.86,f,1.0,1.0,0.0,0.0,1.27,Oslo,Entire Standard,Entire,Standard
22763,within an hour,100%,100%,f,1.0,1.0,t,Ullern,Hotel,Private room,2.0,1.0,1 shared bath,1.0,2.0,760.0,2,30.0,2.0,2.0,30.0,30.0,2.0,30.0,t,25.0,46.0,76.0,351.0,57.0,6.0,0.0,80,1.0,36.0,27360.0,4.91,4.88,4.84,4.93,4.96,4.77,4.86,f,1.0,0.0,1.0,0.0,3.66,Oslo,Hotel,Hotel,Hotel
22764,within an hour,100%,75%,f,2.0,4.0,f,St. Hanshaugen,Hotel,Private room,1.0,1.5,1.5 shared baths,1.0,3.0,950.0,1,1125.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,t,9.0,25.0,35.0,35.0,22.0,0.0,0.0,35,0.0,0.0,0.0,4.14,4.45,3.73,4.86,4.73,4.82,4.09,f,1.0,0.0,1.0,0.0,1.45,Oslo,Hotel,Hotel,Hotel
22767,within an hour,100%,98%,t,1.0,1.0,t,Gamle Oslo,Hotel,Private room,1.0,1.0,1 shared bath,1.0,1.0,330.0,2,30.0,2.0,2.0,30.0,30.0,2.0,30.0,t,1.0,7.0,9.0,16.0,212.0,31.0,4.0,9,37.0,186.0,61380.0,4.92,4.94,4.87,4.95,4.96,4.8,4.92,f,1.0,0.0,1.0,0.0,0.83,Oslo,Hotel,Hotel,Hotel
22768,within an hour,100%,50%,f,1.0,1.0,t,Gamle Oslo,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1329.0,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,t,7.0,32.0,42.0,295.0,87.0,5.0,0.0,42,5.0,30.0,39870.0,4.89,4.93,4.97,4.91,4.91,4.63,4.78,f,1.0,1.0,0.0,0.0,1.47,Oslo,Entire Standard,Entire,Standard
22770,within an hour,100%,0%,f,1.0,1.0,f,Frogner,Entire Standard,Entire home/apt,6.0,1.0,1 bath,4.0,4.0,900.0,4,30.0,5.0,5.0,30.0,30.0,5.0,30.0,t,0.0,0.0,0.0,30.0,13.0,1.0,0.0,0,0.0,8.0,7200.0,5.0,5.0,5.0,5.0,5.0,5.0,4.92,f,1.0,1.0,0.0,0.0,2.45,Oslo,Entire Standard,Entire,Standard
22771,within a day,100%,50%,f,1.0,1.0,t,Grünerløkka,Entire Standard,Entire home/apt,2.0,1.5,1.5 baths,0.0,2.0,720.0,4,730.0,1.0,4.0,730.0,730.0,4.0,730.0,t,5.0,9.0,39.0,255.0,35.0,5.0,1.0,43,5.0,40.0,28800.0,4.83,4.86,4.71,4.59,4.71,4.79,4.79,f,1.0,1.0,0.0,0.0,1.7,Oslo,Entire Standard,Entire,Standard
22772,within a few hours,100%,93%,f,2.0,2.0,t,Nordstrand,Entire Standard,Entire home/apt,4.0,1.0,1 bath,1.0,2.0,1774.0,3,180.0,3.0,3.0,180.0,180.0,3.0,180.0,t,23.0,53.0,77.0,77.0,108.0,4.0,0.0,77,0.0,24.0,42576.0,4.87,4.86,4.84,4.93,4.97,4.9,4.8,f,2.0,2.0,0.0,0.0,5.21,Oslo,Entire Standard,Entire,Standard
22776,within a few hours,100%,85%,f,1.0,1.0,t,Grünerløkka,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,972.0,4,35.0,4.0,21.0,35.0,35.0,8.9,35.0,t,11.0,41.0,71.0,156.0,18.0,7.0,3.0,75,6.0,56.0,54432.0,4.89,4.94,4.78,4.78,5.0,4.67,4.89,f,1.0,1.0,0.0,0.0,1.56,Oslo,Entire Standard,Entire,Standard
22778,within a few hours,100%,94%,t,2.0,4.0,t,St. Hanshaugen,Hotel,Private room,1.0,1.0,1 shared bath,1.0,1.0,473.0,1,1125.0,1.0,2.0,1125.0,1125.0,1.3,1125.0,t,1.0,10.0,28.0,183.0,273.0,13.0,3.0,32,15.0,78.0,36894.0,4.85,4.89,4.73,4.87,4.9,4.83,4.85,f,2.0,0.0,2.0,0.0,1.55,Oslo,Hotel,Hotel,Hotel
22780,within a few hours,100%,94%,t,2.0,4.0,t,St. Hanshaugen,Hotel,Private room,2.0,1.0,1 shared bath,1.0,1.0,623.0,1,1124.0,1.0,2.0,1124.0,1124.0,1.3,1124.0,t,12.0,27.0,27.0,180.0,462.0,24.0,1.0,27,3.0,144.0,89712.0,4.77,4.82,4.6,4.87,4.89,4.73,4.73,f,2.0,0.0,2.0,0.0,1.47,Oslo,Hotel,Hotel,Hotel
22782,within an hour,100%,97%,t,4.0,4.0,t,Grünerløkka,Hotel,Private room,1.0,1.0,1 shared bath,1.0,1.0,966.0,3,1125.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,t,29.0,59.0,89.0,364.0,17.0,4.0,1.0,93,0.0,24.0,23184.0,4.65,4.59,4.35,4.76,4.76,4.76,4.65,f,2.0,0.0,2.0,0.0,0.67,Oslo,Hotel,Hotel,Hotel
22784,within a few hours,75%,57%,f,2.0,2.0,t,Sagene,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,2250.0,2,1125.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,29.0,59.0,89.0,364.0,2.0,0.0,0.0,93,0.0,0.0,0.0,4.5,4.0,4.5,5.0,5.0,4.0,4.5,f,2.0,2.0,0.0,0.0,3.27,Oslo,Entire Standard,Entire,Standard
